author_id,author_name,field_name,author_citation_from_papers_in_field,gender,race
2107003637,hongjiang zhang,graph theory,2453,male,East Asian
2558675373,jinhui wang,graph theory,1704,male,East Asian
2121939561,jiawei han,graph theory,2755,male,East Asian
2002213426,jianbo shi,graph theory,12028,male,East Asian
2109031554,qiang yang,graph theory,2006,male,East Asian
2145026360,fan chung,graph theory,2588,female,East Asian
2167032303,stephen lin,graph theory,1914,male,East Asian
2149175904,satoru kawai,graph theory,1878,male,East Asian
2144833106,shuicheng yan,graph theory,3003,male,East Asian
2141500565,deng cai,graph theory,1723,male,East Asian
2099847228,benyu zhang,graph theory,2171,male,East Asian
2157918172,wei ren,graph theory,3210,male,East Asian
2973687317,t kamada,graph theory,1878,male,East Asian
2225791946,xiaoyu hu,graph theory,1582,male,East Asian
2107876906,yong he,graph theory,1952,male,East Asian
2425744831,dong xu,graph theory,2216,male,East Asian
2067629764,andrew b kahng,graph theory,1746,male,East Asian
2119679967,toshio yamagishi,network theory,784,male,East Asian
2275122832,haejeong park,network theory,673,male,East Asian
2102240352,beom jun kim,network theory,1023,male,East Asian
2115325288,seung kee han,network theory,1023,male,East Asian
2610664851,nan lin,network theory,2091,male,East Asian
2127952624,yongyeol ahn,network theory,1198,male,East Asian
2245702983,nhan phan thien,network theory,781,male,East Asian
2146161571,chang no yoon,network theory,1023,male,East Asian
2101274274,meeyoung cha,social network,5424,female,East Asian
2419915511,changhyun lee,social network,4496,male,East Asian
2157848085,wenpin tsai,social network,8272,male,East Asian
2158012360,jie tang,social network,5495,male,East Asian
294294306,ichiro kawachi,social network,5757,male,East Asian
2157550716,hosung park,social network,4502,male,East Asian
2191828109,sue moon,social network,5694,female,East Asian
2610664851,nan lin,social network,4889,male,East Asian
2122391114,huan liu,social network,3952,male,East Asian
2121363826,irwin king,social network,4018,male,East Asian
2132063513,haewoon kwak,social network,5557,male,East Asian
2584951063,junan lu,complex network,2079,male,East Asian
2151409538,donguk hwang,complex network,7000,male,East Asian
2114505317,yong zou,complex network,1932,male,East Asian
2228415632,changsong zhou,complex network,4430,male,East Asian
2686795201,linyuan lu,complex network,2762,female,East Asian
2476563404,yingcheng lai,complex network,4677,male,East Asian
2105834143,wenwu yu,complex network,3002,male,East Asian
2104171312,zidong wang,complex network,3514,male,East Asian
2438622153,wenxu wang,complex network,2037,male,East Asian
2110250596,jinhu lu,complex network,5219,male,East Asian
2097525001,jinde cao,complex network,3233,male,East Asian
2689291799,xiang li,complex network,2020,male,East Asian
2105916845,hawoong jeong,complex network,14912,male,East Asian
2422184792,tao zhou,complex network,3972,male,East Asian
2105958714,yangyu liu,complex network,2362,male,East Asian
2226227572,xiaofan wang,complex network,4526,male,East Asian
2162788130,guanrong chen,complex network,12480,male,East Asian
2157132620,jianxi gao,network science,666,male,East Asian
2119679967,toshio yamagishi,network science,631,male,East Asian
2102240352,beom jun kim,network science,1169,male,East Asian
2103022394,jie wu,network science,655,male,East Asian
2105916845,hawoong jeong,network science,1821,male,East Asian
2146161571,chang no yoon,network science,1023,male,East Asian
2115325288,seung kee han,network science,1023,male,East Asian
2646458815,juyong park,network science,865,male,East Asian
2158012360,jie tang,network science,685,male,East Asian
2157848085,wenpin tsai,social network analysis,2117,male,East Asian
2166435812,ben y zhao,social network analysis,733,male,East Asian
2160940721,haixuan yang,social network analysis,806,male,East Asian
2925179156,belle l tseng,social network analysis,2337,female,East Asian
2161853255,jennifer xu,social network analysis,750,female,East Asian
2227744130,michael r lyu,social network analysis,806,male,East Asian
2650521881,jun zhang,social network analysis,1360,male,East Asian
2152778655,xuerui wang,social network analysis,948,male,East Asian
2113869885,xiaodan song,social network analysis,2264,male,East Asian
2656995071,hao ma,social network analysis,806,male,East Asian
2122391114,huan liu,social network analysis,814,male,East Asian
2096153312,han woo park,social network analysis,906,male,East Asian
2121363826,irwin king,social network analysis,876,male,East Asian
2485322213,ray reagans,social network analysis,1145,male,Black/African
341001588,r olfatisaber,graph theory,9075,male,Middle Eastern
1994589778,tolga eren,graph theory,1506,male,Middle Eastern
341688178,ali jadbabaie,graph theory,2000,male,Middle Eastern
270906047,farinaz koushanfar,graph theory,1593,female,Middle Eastern
131739572,babak pourbohloul,network theory,517,male,Middle Eastern
368345771,nadav kashtan,complex network,4935,male,Middle Eastern
341001588,r olfatisaber,complex network,6721,male,Middle Eastern
2617115591,reuven cohen,network science,573,male,Middle Eastern
2131580547,alireza abbasi,social network analysis,794,male,Middle Eastern
2003989378,liaquat hossain,social network analysis,814,male,Middle Eastern
2617375404,mohsen jamali,social network analysis,972,male,Middle Eastern
1274808907,olaf sporns,graph theory,8010,male,White/European
2275925217,reka albert,graph theory,1748,female,White/European
1979476267,cornelis j stam,graph theory,2769,male,White/European
252321027,kristofer s j pister,graph theory,1490,male,White/European
1986498546,daniel a spielman,graph theory,1880,male,White/European
