author_id,author_name,field_name,gender,race
2252586558,lotfi a zadeh,network theory,male,Other
2974228899,z wu,graph theory,male,East Asian
2656995071,hao ma,social network analysis,male,East Asian
2656995071,hao ma,social network,male,East Asian
2103022394,jie wu,complex network,male,East Asian
2103022394,jie wu,social network,male,East Asian
2103022394,jie wu,network science,male,East Asian
2394571040,wei ni,graph theory,male,East Asian
2703292142,xun li,network science,male,East Asian
2703292142,xun li,social network analysis,male,East Asian
2425744831,dong xu,graph theory,male,East Asian
2610664851,nan lin,social network,male,East Asian
2610664851,nan lin,network theory,male,East Asian
2429767861,ning yu,social network analysis,female,East Asian
2157918172,wei ren,graph theory,male,East Asian
2107876906,yong he,graph theory,male,East Asian
2107876906,yong he,complex network,male,East Asian
2785343825,bing liu,social network,male,East Asian
2141500565,deng cai,social network analysis,male,East Asian
2141500565,deng cai,social network,male,East Asian
2141500565,deng cai,graph theory,male,East Asian
2141500565,deng cai,network science,male,East Asian
2158012360,jie tang,social network,male,East Asian
2158012360,jie tang,social network analysis,male,East Asian
2158012360,jie tang,network science,male,East Asian
2110250596,jinhu lu,complex network,male,East Asian
2421657768,jun dong,network theory,male,East Asian
2421657768,jun dong,social network,male,East Asian
2623686872,lin wang,network science,male,East Asian
2169363483,lin xiao,graph theory,male,East Asian
2191828109,sue moon,social network,female,East Asian
2973687317,t kamada,graph theory,male,East Asian
2422184792,tao zhou,complex network,male,East Asian
2422184792,tao zhou,network science,male,East Asian
2422184792,tao zhou,network theory,male,East Asian
2105834143,wenwu yu,complex network,male,East Asian
2689291799,xiang li,complex network,male,East Asian
2100860776,duo zhang,network science,male,East Asian
2100860776,duo zhang,social network analysis,male,East Asian
2100860776,duo zhang,social network,male,East Asian
2113438569,erjia yan,network theory,male,East Asian
2113438569,erjia yan,network science,male,East Asian
2113438569,erjia yan,social network,male,East Asian
2145026360,fan chung,graph theory,female,East Asian
2145026360,fan chung,complex network,female,East Asian
2145026360,fan chung,network science,female,East Asian
2159823517,jiayu pan,graph theory,male,East Asian
2650521881,jun zhang,social network,male,East Asian
2650521881,jun zhang,social network analysis,male,East Asian
2125958825,lin huang,complex network,male,East Asian
2225791946,xiaoyu hu,graph theory,male,East Asian
2309260691,xiwei liu,complex network,male,East Asian
2715558004,yang wang,graph theory,male,East Asian
2161065209,ying ding,network science,female,East Asian
2161065209,ying ding,social network,female,East Asian
2161065209,ying ding,network theory,female,East Asian
2566209759,zhen wang,network science,male,East Asian
2975222557,b bui xuan,complex network,male,East Asian
2975222557,b bui xuan,network science,male,East Asian
2166435812,ben y zhao,social network,male,East Asian
2166435812,ben y zhao,social network analysis,male,East Asian
2307857036,chuan yang,graph theory,male,East Asian
2168527748,huchuan lu,graph theory,male,East Asian
2121363826,irwin king,social network analysis,male,East Asian
2121363826,irwin king,social network,male,East Asian
2141131632,jason hong,social network analysis,male,East Asian
2141131632,jason hong,social network,male,East Asian
2002213426,jianbo shi,graph theory,male,East Asian
2157132620,jianxi gao,complex network,male,East Asian
2157132620,jianxi gao,network science,male,East Asian
2121939561,jiawei han,graph theory,male,East Asian
2153123546,juyong lee,complex network,male,East Asian
