year,authorship_type,portion_of_female_unique_authors_by_authorship
1800,last,
1864,first,1.0
1907,first,0.0
1916,first,0.77777777777777779
1922,first,0.7
1923,first,0.0
1924,first,0.0625
1926,first,0.0
1927,first,0.02564102564102564
1928,first,0.0
1929,first,
1930,first,0.8571428571428571
1931,first,0.0
1932,first,1.0
1935,first,0.0
1936,first,0.0
1938,first,0.0
1940,first,0.0
1941,first,0.59183673469387754
1941,last,0.33333333333333331
1942,last,0.0
1943,first,0.0045871559633027525
1943,last,0.014598540145985401
1944,first,
1947,first,0.00211864406779661
1948,first,0.0
1949,first,0.00016103059581320451
1950,first,0.0641025641025641
1951,first,0.0
1952,first,0.067567567567567571
1952,middle,
1953,first,0.0
1953,middle,0.0
1954,first,0.021929824561403508
1954,middle,
1955,first,0.56
1956,first,0.0016949152542372881
1956,last,
1957,first,0.0033990482664853841
1958,first,0.0022197558268590455
1958,last,0.35416666666666669
1958,middle,0.0
1959,last,0.018487949818421921
1959,middle,0.086021505376344093
1960,first,0.0
1961,first,0.0034334763948497852
1962,first,0.0
1962,last,0.0
1963,first,0.055900621118012424
1964,first,0.035479865176512332
1964,last,0.12096417514374171
1965,first,0.0
1965,last,0.31182795698924731
1966,first,0.000425531914893617
1967,first,0.22720166753517457
1967,last,0.081288343558282211
1968,first,0.080184331797235026
1968,last,0.50790067720090293
1969,first,0.0013737521751076105
1969,last,0.17739628040057226
1969,middle,0.062043795620437957
1970,first,0.021126760563380281
1970,last,0.022408963585434174
1970,middle,0.73469387755102045
1971,first,0.14696969696969697
1971,last,0.065131056393963466
1972,first,0.02335609054976644
1972,last,0.035384615384615382
1972,middle,0.089552238805970144
1973,first,0.0010100329944111508
1973,last,0.0021920210434020165
1974,first,0.019395058877857307
1974,last,0.059027777777777776
1974,middle,0.016949152542372881
1975,first,0.038719068413391559
1975,last,0.025391680172879523
1975,middle,0.063492063492063489
1976,first,0.029419388284085017
1976,last,0.047335319430652105
1976,middle,0.14244604316546763
1977,first,0.015869038670341604
1977,last,0.12639161755075312
1977,middle,0.58314690529455626
1978,first,0.033792998939233217
1978,last,0.22589098532494759
1978,middle,0.41185410334346506
1979,first,0.398919284025667
1979,last,0.15861244019138757
1979,middle,0.035991312441824387
1980,first,0.18047922620356122
1980,last,0.17129330751022165
1980,middle,0.040851063829787232
1981,first,0.26817269076305222
1981,last,0.24303916941953752
1981,middle,0.36608287056813327
1982,first,0.14807520143240824
1982,last,0.15539234634712021
1982,middle,0.10544611819235226
1983,first,0.099081641250315947
1983,last,0.16819399407866911
1983,middle,0.59123521427186354
1984,first,0.23033187071256411
1984,last,0.11177007299270073
1984,middle,0.23731656184486374
1985,first,0.090899050143582946
1985,last,0.14291655835716141
1985,middle,0.2119815668202765
1986,first,0.29550498525953162
1986,last,0.32893146901432763
1986,middle,0.20192644483362521
1987,first,0.28979663394109395
1987,last,0.17035503900652763
1987,middle,0.19310935566765014
1988,first,0.1125625870571848
1988,last,0.084476172584382239
1988,middle,0.51588785046728969
1989,first,0.20251206305941288
1989,last,0.19372281650405548
1989,middle,0.27753591641271225
1990,first,0.20418294270833334
1990,last,0.11738189686260368
1990,middle,0.14726947179946284
1991,first,0.22331975970648713
1991,last,0.24585248850689587
1991,middle,0.19774436090225564
1992,first,0.20906761897368217
1992,last,0.29275808936825887
1992,middle,0.3849076517150396
1993,first,0.21755685644718437
1993,last,0.23416024850006384
1993,middle,0.33783376529443676
1994,first,0.1713520197856554
1994,last,0.50818921394321426
1994,middle,0.30177725118483412
1995,first,0.396925984602129
1995,last,0.33463155565390573
1995,middle,0.34011111747522765
1996,first,0.25660809778456839
1996,last,0.33176892226299171
1996,middle,0.38823953452448379
1997,first,0.2245057025148329
1997,last,0.21322702647449657
1997,middle,0.27937488642558606
1998,first,0.13433225540803825
1998,last,0.13425518723054519
1998,middle,0.29555890497388621
1999,first,0.19728353885987623
1999,last,0.46231460143000652
1999,middle,0.374686177462162
2000,first,0.21305644141679089
2000,last,0.21435197263530162
2000,middle,0.23256195933861371
2001,first,0.24678503818787126
2001,last,0.21834427068029211
2001,middle,0.48157607649361484
2002,first,0.29240370204154215
2002,last,0.14887248277171547
2002,middle,0.16962983867174639
2003,first,0.21696399789286641
2003,last,0.292739678293223
2003,middle,0.25044871628124754
2004,first,0.20399644561264646
2004,last,0.19383970014177235
2004,middle,0.23440036238722586
2005,first,0.24069278498538538
2005,last,0.1943961718704959
2005,middle,0.20650114899695671
2006,first,0.23377589126753223
2006,last,0.15594019885332752
2006,middle,0.23505876765997863
2007,first,0.28254025044722719
2007,last,0.24725864995264218
2007,middle,0.20546997361024694
2008,first,0.2545039007942666
2008,last,0.22508879943168364
2008,middle,0.22978282291813307
2009,first,0.28165365970762773
2009,last,0.231292910388914
2009,middle,0.27394658878701506
2010,first,0.25205890159515809
2010,last,0.22395875914066404
2010,middle,0.22558919035810077
2011,first,0.26803924126814443
2011,last,0.21841579123185767
2011,middle,0.24947289690701707
2012,first,0.26163961002409203
2012,last,0.21785210513894301
2012,middle,0.25117413802801059
2013,first,0.28944024236509291
2013,last,0.22754412026176779
2013,middle,0.26024569829519517
2014,first,0.28432731387555321
2014,last,0.23255311097897183
2014,middle,0.28833025390133671
2015,first,0.31527145084444597
2015,last,0.25817000080991331
2015,middle,0.296368074640064
2016,first,0.30281216199975963
2016,last,0.2396279344455928
2016,middle,0.2930872926294269
2017,first,0.340012412447912
2017,last,0.26972170321565542
2017,middle,0.30911656503552892
2018,first,0.29961990950226242
2018,last,0.24895082746060654
2018,middle,0.30791058078832967
2019,first,0.29066817028474767
2019,last,0.26506213622778041
2019,middle,0.289771482806454
2020,first,0.0
2020,last,0.0
2020,middle,0.25
