year,authorship_type,portion_of_female_unique_authors_by_authorship
1800,last,1.0
1864,first,1.0
1907,first,0.5
1916,first,0.5
1922,first,0.33333333333333331
1923,first,0.2
1924,first,0.2
1926,first,0.090909090909090912
1927,first,0.16666666666666666
1928,first,0.33333333333333331
1929,first,0.25
1930,first,0.2
1931,first,0.1111111111111111
1932,first,0.42857142857142855
1935,first,0.14285714285714285
1936,first,0.33333333333333331
1938,first,0.33333333333333331
1940,first,0.25
1941,first,0.27272727272727271
1941,last,0.33333333333333331
1942,last,0.5
1943,first,0.4
1943,last,0.5
1944,first,1.0
1947,first,0.3
1948,first,0.15384615384615385
1949,first,0.15384615384615385
1950,first,0.076923076923076927
1951,first,0.090909090909090912
1952,first,0.16666666666666666
1952,middle,0.5
1953,first,0.058823529411764705
1953,middle,0.33333333333333331
1954,first,0.11764705882352941
1954,middle,0.5
1955,first,0.1875
1956,first,0.090909090909090912
1956,last,0.33333333333333331
1957,first,0.13793103448275862
1958,first,0.054054054054054057
1958,last,0.125
1958,middle,0.25
1959,last,0.14285714285714285
1959,middle,0.33333333333333331
1960,first,0.043478260869565216
1961,first,0.1111111111111111
1962,first,0.041666666666666664
1962,last,0.25
1963,first,0.11538461538461539
1964,first,0.063829787234042548
1964,last,0.30769230769230771
1965,first,0.028571428571428571
1965,last,0.1111111111111111
1966,first,0.075
1967,first,0.13235294117647059
1967,last,0.058823529411764705
1968,first,0.11864406779661017
1968,last,0.0625
1969,first,0.14444444444444443
1969,last,0.29629629629629628
1969,middle,0.29166666666666669
1970,first,0.22641509433962265
1970,last,0.32142857142857145
1970,middle,0.44444444444444442
1971,first,0.14
1971,last,0.2
1972,first,0.083333333333333329
1972,last,0.083333333333333329
1972,middle,0.125
1973,first,0.066666666666666666
1973,last,0.083333333333333329
1974,first,0.08943089430894309
1974,last,0.125
1974,middle,0.090909090909090912
1975,first,0.12820512820512819
1975,last,0.13513513513513514
1975,middle,0.10526315789473684
1976,first,0.11194029850746269
1976,last,0.14583333333333334
1976,middle,0.21052631578947367
1977,first,0.12121212121212122
1977,last,0.17777777777777778
1977,middle,0.23529411764705882
1978,first,0.12258064516129032
1978,last,0.21276595744680851
1978,middle,0.38461538461538464
1979,first,0.15909090909090909
1979,last,0.17391304347826086
1979,middle,0.0967741935483871
1980,first,0.16574585635359115
1980,last,0.2153846153846154
1980,middle,0.23529411764705882
1981,first,0.182648401826484
1981,last,0.22058823529411764
1981,middle,0.16666666666666666
1982,first,0.21698113207547171
1982,last,0.24705882352941178
1982,middle,0.19230769230769232
1983,first,0.24738675958188153
1983,last,0.21666666666666667
1983,middle,0.37096774193548387
1984,first,0.19736842105263158
1984,last,0.18292682926829268
1984,middle,0.35616438356164382
1985,first,0.25
1985,last,0.23456790123456789
1985,middle,0.3493975903614458
1986,first,0.19886363636363635
1986,last,0.20171673819742489
1986,middle,0.24074074074074073
1987,first,0.22018348623853212
1987,last,0.23371647509578544
1987,middle,0.19444444444444445
1988,first,0.18181818181818182
1988,last,0.15584415584415584
1988,middle,0.14285714285714285
1989,first,0.19536423841059603
1989,last,0.19867549668874171
1989,middle,0.21568627450980393
1990,first,0.23555555555555555
1990,last,0.147239263803681
1990,middle,0.17326732673267325
1991,first,0.24042879019908117
1991,last,0.21666666666666667
1991,middle,0.25405405405405407
1992,first,0.23414634146341465
1992,last,0.25776397515527949
1992,middle,0.27040816326530615
1993,first,0.25193798449612403
1993,last,0.18
1993,middle,0.25838926174496646
1994,first,0.26126126126126126
1994,last,0.2958057395143488
1994,middle,0.3515151515151515
1995,first,0.26755447941888622
1995,last,0.24946695095948826
1995,middle,0.31693989071038253
1996,first,0.23739237392373924
1996,last,0.22661122661122662
1996,middle,0.296969696969697
1997,first,0.25631431244153413
1997,last,0.23417721518987342
1997,middle,0.30243902439024389
1998,first,0.23823975720789076
1998,last,0.2140221402214022
1998,middle,0.28523489932885904
1999,first,0.25906735751295334
1999,last,0.21515561569688768
1999,middle,0.27306273062730629
2000,first,0.26844106463878326
2000,last,0.2285336856010568
2000,middle,0.23883161512027493
2001,first,0.25412087912087911
2001,last,0.23665048543689321
2001,middle,0.29478138222849082
2002,first,0.2656668452062132
2002,last,0.20129870129870131
2002,middle,0.2527352297592998
2003,first,0.26735218508997427
2003,last,0.23902439024390243
2003,middle,0.25691699604743085
2004,first,0.27024147727272729
2004,last,0.21067904817179339
2004,middle,0.25448717948717947
2005,first,0.26595110316040549
2005,last,0.22926374650512582
2005,middle,0.25233644859813081
2006,first,0.26053802160559203
2006,last,0.22033898305084745
2006,middle,0.24510689551339959
2007,first,0.28808766348533049
2007,last,0.22511185682326623
2007,middle,0.26135478847651183
2008,first,0.29112812147069894
2008,last,0.23834196891191708
2008,middle,0.25069013112491373
2009,first,0.30303890940073841
2009,last,0.2626901641813526
2009,middle,0.26291198383634296
2010,first,0.31463642013673088
2010,last,0.24947692307692307
2010,middle,0.27244078479211142
2011,first,0.31607787519339864
2011,last,0.27013693113169551
2011,middle,0.27243563379123137
2012,first,0.31192200557103061
2012,last,0.25882049961370074
2012,middle,0.27234098189187422
2013,first,0.3188586251621271
2013,last,0.26724468656487377
2013,middle,0.277437641723356
2014,first,0.33263838215365371
2014,last,0.28798028798028796
2014,middle,0.29141838837222256
2015,first,0.35036919831223629
2015,last,0.29774978880270331
2015,middle,0.30770866560340243
2016,first,0.35221375731478416
2016,last,0.29010029859888214
2016,middle,0.30961954840705225
2017,first,0.35879077167859985
2017,last,0.3010882708585248
2017,middle,0.31869154301944075
2018,first,0.35175296029719061
2018,last,0.296376058220704
2018,middle,0.3147237618451636
2019,first,0.36001984947481597
2019,last,0.29126312570088692
2019,middle,0.32069245020842985
2020,first,0.35175879396984927
2020,last,0.32121212121212123
2020,middle,0.24774774774774774
