year,authorship_type,portion_of_female_unique_authors_by_authorship
1800,last,1.0
1864,first,1.0
1907,first,0.5
1916,first,0.5
1922,first,0.33333333333333331
1923,first,0.2
1924,first,0.25
1926,first,0.090909090909090912
1927,first,0.16666666666666666
1928,first,0.33333333333333331
1929,first,0.25
1930,first,0.25
1931,first,0.1111111111111111
1932,first,0.42857142857142855
1935,first,0.14285714285714285
1936,first,0.33333333333333331
1938,first,0.2
1940,first,0.25
1941,first,0.27272727272727271
1941,last,0.33333333333333331
1942,last,0.5
1943,first,0.4
1943,last,0.5
1944,first,1.0
1947,first,0.3
1948,first,0.15384615384615385
1949,first,0.15384615384615385
1950,first,0.076923076923076927
1951,first,0.090909090909090912
1952,first,0.17647058823529413
1952,middle,0.5
1953,first,0.066666666666666666
1953,middle,0.33333333333333331
1954,first,0.11764705882352941
1954,middle,0.5
1955,first,0.1875
1956,first,0.090909090909090912
1956,last,0.33333333333333331
1957,first,0.13793103448275862
1958,first,0.057142857142857141
1958,last,0.125
1958,middle,0.25
1959,last,0.14285714285714285
1959,middle,0.25
1960,first,0.043478260869565216
1961,first,0.1111111111111111
1962,first,0.041666666666666664
1962,last,0.25
1963,first,0.11538461538461539
1964,first,0.065217391304347824
1964,last,0.30769230769230771
1965,first,0.028571428571428571
1965,last,0.1111111111111111
1966,first,0.076923076923076927
1967,first,0.13235294117647059
1967,last,0.071428571428571425
1968,first,0.11864406779661017
1968,last,0.066666666666666666
1969,first,0.14444444444444443
1969,last,0.30769230769230771
1969,middle,0.29166666666666669
1970,first,0.20792079207920791
1970,last,0.33333333333333331
1970,middle,0.44444444444444442
1971,first,0.14
1971,last,0.2
1972,first,0.086419753086419748
1972,last,0.083333333333333329
1972,middle,0.14285714285714285
1973,first,0.068181818181818177
1973,last,0.086956521739130432
1974,first,0.094827586206896547
1974,last,0.13333333333333333
1974,middle,0.1111111111111111
1975,first,0.12612612612612611
1975,last,0.14285714285714285
1975,middle,0.066666666666666666
1976,first,0.1171875
1976,last,0.14583333333333334
1976,middle,0.22222222222222221
1977,first,0.11627906976744186
1977,last,0.18604651162790697
1977,middle,0.24242424242424243
1978,first,0.12666666666666668
1978,last,0.22727272727272727
1978,middle,0.38461538461538464
1979,first,0.17177914110429449
1979,last,0.18461538461538463
1979,middle,0.1
1980,first,0.16853932584269662
1980,last,0.203125
1980,middle,0.23529411764705882
1981,first,0.1875
1981,last,0.21212121212121213
1981,middle,0.16666666666666666
1982,first,0.21634615384615385
1982,last,0.24390243902439024
1982,middle,0.19230769230769232
1983,first,0.24727272727272728
1983,last,0.21848739495798319
1983,middle,0.37704918032786883
1984,first,0.20699708454810495
1984,last,0.19178082191780821
1984,middle,0.36619718309859156
1985,first,0.2608695652173913
1985,last,0.24358974358974358
1985,middle,0.31645569620253167
1986,first,0.20040899795501022
1986,last,0.21004566210045661
1986,middle,0.25
1987,first,0.22509960159362549
1987,last,0.23790322580645162
1987,middle,0.19565217391304349
1988,first,0.18090452261306533
1988,last,0.16370106761565836
1988,middle,0.14678899082568808
1989,first,0.20426287744227353
1989,last,0.20979020979020979
1989,middle,0.20979020979020979
1990,first,0.23370429252782193
1990,last,0.16161616161616163
1990,middle,0.15760869565217392
1991,first,0.24386252045826515
1991,last,0.23214285714285715
1991,middle,0.24858757062146894
1992,first,0.23024054982817868
1992,last,0.26072607260726072
1992,middle,0.26842105263157895
1993,first,0.26002766251728909
1993,last,0.18483412322274881
1993,middle,0.26829268292682928
1994,first,0.27521613832853026
1994,last,0.245
1994,middle,0.32881355932203388
1995,first,0.26817042606516289
1995,last,0.24663677130044842
1995,middle,0.31304347826086959
1996,first,0.24025974025974026
1996,last,0.22857142857142856
1996,middle,0.28662420382165604
1997,first,0.26546906187624753
1997,last,0.23588039867109634
1997,middle,0.30927835051546393
1998,first,0.24107142857142858
1998,last,0.21908602150537634
1998,middle,0.29508196721311475
1999,first,0.2671102661596958
1999,last,0.21932515337423314
1999,middle,0.28007889546351084
2000,first,0.2742857142857143
2000,last,0.23615160349854228
2000,middle,0.24264705882352941
2001,first,0.25678650036683787
2001,last,0.24015748031496062
2001,middle,0.29242424242424242
2002,first,0.27125506072874495
2002,last,0.20710659898477157
2002,middle,0.25988023952095807
2003,first,0.27702386523163314
2003,last,0.25155763239875389
2003,middle,0.25977410947002605
2004,first,0.27786499215070642
2004,last,0.22222222222222221
2004,middle,0.26506024096385544
2005,first,0.27533333333333332
2005,last,0.2352625937834941
2005,middle,0.263771186440678
2006,first,0.27482792527040317
2006,last,0.23569794050343248
2006,middle,0.2601509162773985
2007,first,0.29738302934179223
2007,last,0.23426911907066797
2007,middle,0.27583108715184185
2008,first,0.29707172160135803
2008,last,0.25179856115107913
2008,middle,0.26104830421377184
2009,first,0.30772518431456353
2009,last,0.27098571926158133
2009,middle,0.27434278161257158
2010,first,0.31871192341166232
2010,last,0.26224328593996843
2010,middle,0.28320057068125076
2011,first,0.32549531896364031
2011,last,0.2794327931363203
2011,middle,0.28336079077429982
2012,first,0.32000248400919085
2012,last,0.27217680896155011
2012,middle,0.28262548262548265
2013,first,0.32701559149133486
2013,last,0.28164841084575326
2013,middle,0.28886505329489842
2014,first,0.33759367919595656
2014,last,0.29888469149127539
2014,middle,0.30147640390192459
2015,first,0.35749501115154358
2015,last,0.31069002502681442
2015,middle,0.31760906730830113
2016,first,0.35798834713278138
2016,last,0.30142440060161019
2016,middle,0.31836709861896939
2017,first,0.36686316317571804
2017,last,0.31120223346710868
2017,middle,0.33058280438545873
2018,first,0.35744080087274593
2018,last,0.30620121794321981
2018,middle,0.32337156687361884
2019,first,0.36694021101992969
2019,last,0.30086157380815626
2019,middle,0.32757822319243235
2020,first,0.359375
2020,last,0.32317073170731708
2020,middle,0.25
