author_id,author_name,field_name,author_citation_from_papers_in_field,gender,race
2125104194,philip s yu,graph,2441,male,East Asian
2618611603,masaki hilaga,graph,2083,male,East Asian
2121939561,jiawei han,graph,3167,male,East Asian
2125800575,xing xie,graph,3429,male,East Asian
2309675908,kamseng lau,graph,2657,male,East Asian
2124867291,lillian lee,graph,2421,female,East Asian
2116657824,xifeng yan,graph,2054,male,East Asian
2107876906,yong he,graph,2174,male,East Asian
2133504918,yoshihisa shinagawa,graph,2099,male,East Asian
2792200781,weiying ma,graph,1724,male,East Asian
2145115012,yu zheng,graph,4037,male,East Asian
2114357324,shoude lin,graph,4138,male,East Asian
2157918172,wei ren,graph,2772,male,East Asian
2129095822,bo pang,graph,2163,female,East Asian
2178444706,tosiyasu l kunii,graph,2102,male,East Asian
2145026360,fan chung,graph,2316,female,East Asian
2227744130,michael r lyu,social network,3696,male,East Asian
2101274274,meeyoung cha,social network,5338,female,East Asian
2121363826,irwin king,social network,3970,male,East Asian
2157550716,hosung park,social network,4502,male,East Asian
2157848085,wenpin tsai,social network,8272,male,East Asian
2191828109,sue moon,social network,5691,female,East Asian
2419915511,changhyun lee,social network,4496,male,East Asian
2132063513,haewoon kwak,social network,5554,male,East Asian
2122391114,huan liu,social network,3686,male,East Asian
294294306,ichiro kawachi,social network,5714,male,East Asian
2158012360,jie tang,social network,5300,male,East Asian
2610664851,nan lin,social network,4626,male,East Asian
2162788130,guanrong chen,complex network,12414,male,East Asian
2226227572,xiaofan wang,complex network,4478,male,East Asian
2105834143,wenwu yu,complex network,2999,male,East Asian
2422184792,tao zhou,complex network,3928,male,East Asian
2584951063,junan lu,complex network,2072,male,East Asian
2110250596,jinhu lu,complex network,5195,male,East Asian
2228415632,changsong zhou,complex network,4394,male,East Asian
2438622153,wenxu wang,complex network,2009,male,East Asian
2476563404,yingcheng lai,complex network,4659,male,East Asian
2686795201,linyuan lu,complex network,2762,female,East Asian
2105958714,yangyu liu,complex network,2357,male,East Asian
2105916845,hawoong jeong,complex network,14907,male,East Asian
2689291799,xiang li,complex network,1981,male,East Asian
2104171312,zidong wang,complex network,3090,male,East Asian
2151409538,donguk hwang,complex network,7000,male,East Asian
2114505317,yong zou,complex network,1902,male,East Asian
2097525001,jinde cao,complex network,3233,male,East Asian
2102240352,beom jun kim,network science,1169,male,East Asian
2166036605,qiaozhu mei,network science,452,male,East Asian
2105916845,hawoong jeong,network science,1821,male,East Asian
2160651145,yicheng zhang,network science,467,male,East Asian
2422184792,tao zhou,network science,476,male,East Asian
2119679967,toshio yamagishi,network science,631,male,East Asian
2158012360,jie tang,network science,682,male,East Asian
2157132620,jianxi gao,network science,666,male,East Asian
2115325288,seung kee han,network science,1023,male,East Asian
2103022394,jie wu,network science,655,male,East Asian
2646458815,juyong park,network science,865,male,East Asian
2146161571,chang no yoon,network science,1023,male,East Asian
2213811539,satoru hayasaka,network science,465,male,East Asian
2080227857,mehran mesbahi,graph,1906,male,Middle Eastern
1970098533,andrei z broder,graph,1815,male,Middle Eastern
73889060,farzin maghoul,graph,1717,male,Middle Eastern
368345771,nadav kashtan,complex network,4711,male,Middle Eastern
341001588,r olfatisaber,complex network,6711,male,Middle Eastern
2617115591,reuven cohen,network science,573,male,Middle Eastern
128580411,thomas lengauer,graph,2901,male,White/European
1955817955,edward finegan,graph,2694,male,White/European
2117986484,evgeny krissinel,graph,2677,male,White/European
2202896758,christof koch,graph,2323,male,White/European
2460692374,g f hughes,graph,1775,male,White/European
2049499784,olivier chapelle,graph,3355,male,White/European
1768377342,a d pelton,graph,2594,male,White/European
2159035819,tom fawcett,graph,8913,male,White/European
2108025540,pietro perona,graph,2522,male,White/European
2041246193,klaus hack,graph,2594,male,White/European
2038684069,asher wolinsky,graph,1851,male,White/European
2122189410,santo fortunato,graph,2839,male,White/European
