year,yearly_netsci_paper_count
1870,1
1876,1
1886,1
1891,2
1896,1
1897,1
1898,1
1899,2
1900,1
1901,1
1902,1
1903,1
1904,1
1905,1
1908,2
1909,2
1910,1
1911,2
1912,2
1915,1
1916,2
1917,7
1918,4
1919,4
1920,2
1921,11
1922,4
1923,6
1924,20
1925,18
1926,13
1927,11
1928,12
1929,10
1930,10
1931,11
1932,15
1933,8
1934,15
1935,20
1936,17
1937,17
1938,21
1939,13
1940,13
1941,23
1942,17
1943,18
1944,10
1945,9
1946,21
1947,18
1948,28
1949,29
1950,33
1951,27
1952,34
1953,35
1954,32
1955,48
1956,40
1957,37
1958,56
1959,46
1960,55
1961,57
1962,72
1963,60
1964,81
1965,98
1966,95
1967,119
1968,122
1969,142
1970,167
1971,149
1972,197
1973,193
1974,227
1975,242
1976,274
1977,278
1978,384
1979,416
1980,487
1981,430
1982,481
1983,513
1984,546
1985,558
1986,583
1987,610
1988,751
1989,782
1990,869
1991,950
1992,1102
1993,1198
1994,1269
1995,1304
1996,1401
1997,1486
1998,1441
1999,1458
2000,1699
2001,1875
2002,2198
2003,2489
2004,3017
2005,3679
2006,4626
2007,5281
2008,6511
2009,8090
2010,9072
2011,10570
2012,12320
2013,13588
2014,14261
2015,15096
2016,14858
2017,15167
2018,15656
2019,12640
2020,194
