year,authorship_type,portion_of_female_unique_authors_by_authorship
1876,first,
1916,first,0.77777777777777779
1921,first,0.050847457627118647
1923,last,1.0
1924,first,0.01282051282051282
1926,first,0.025
1926,middle,1.0
1927,first,0.60629921259842523
1928,first,0.055
1928,last,1.0
1929,first,0.0
1930,first,0.53333333333333333
1931,first,0.0
1932,first,0.020512820512820513
1933,first,0.05
1934,first,0.087804878048780483
1935,first,0.0
1936,first,0.060606060606060608
1936,last,0.0975609756097561
1938,first,0.012631578947368421
1938,last,0.10091743119266056
1939,first,0.0
1940,first,0.0
1941,first,0.040110650069156296
1941,last,0.032258064516129031
1942,first,0.0
1942,last,0.0080645161290322578
1943,first,0.0273972602739726
1943,last,0.0
1944,first,0.0
1945,last,0.90322580645161288
1945,middle,0.66666666666666663
1946,first,0.06
1946,last,0.23376623376623376
1946,middle,0.5
1947,first,0.033112582781456956
1947,last,0.014184397163120567
1948,first,0.0
1948,middle,0.26548672566371684
1949,first,0.00016114736926919668
1950,first,0.012195121951219513
1951,first,0.0
1951,last,0.075471698113207544
1952,first,0.13659793814432988
1952,middle,
1953,middle,1.0
1954,first,0.007889546351084813
1954,middle,0.33333333333333331
1955,first,0.0609284332688588
1955,last,0.2720125786163522
1955,middle,0.13333333333333333
1956,first,0.00816326530612245
1956,last,0.36363636363636365
1957,first,0.024552429667519183
1957,last,0.5524861878453039
1958,first,0.0036140224069389228
1958,last,0.12056737588652482
1959,first,0.0017590149516270889
1959,last,0.019044544867656554
1959,middle,0.022222222222222223
1960,first,0.047285464098073555
1960,last,0.11872146118721461
1961,first,0.0055074744295830055
1961,last,0.017326732673267328
1961,middle,0.0
1962,first,0.10623655913978494
1962,last,0.18859649122807018
1962,middle,0.062015503875968991
1963,first,0.00037537537537537537
1963,last,0.0
1964,first,9.8607173671884626e-05
1964,last,0.0938293409868639
1964,middle,0.10826210826210826
1965,first,0.04583987441130298
1965,last,0.019445794846864366
1965,middle,0.37302052785923756
1966,first,0.0042491449891180434
1966,last,0.010341974627688913
1966,middle,0.076167076167076173
1967,first,0.37885136800591568
1967,last,0.072289156626506021
1968,first,0.017704517704517704
1968,last,0.21561969439728354
1968,middle,0.053097345132743362
1969,first,0.0075620084694494856
1969,last,0.12678062678062679
1969,middle,0.0851063829787234
1970,first,0.01291822761917065
1970,last,0.036919831223628692
1970,middle,0.0
1971,first,0.15708556149732619
1971,last,0.174496644295302
1971,middle,0.099150141643059492
1972,first,0.043163538873994635
1972,last,0.017144986954901228
1972,middle,0.17917304747320062
1973,first,0.00805121467110229
1973,last,0.0750625521267723
1974,first,0.017723949486743964
1974,last,0.0067587714938872872
1974,middle,0.28712871287128711
1975,first,0.043588123815540114
1975,last,0.0515713134568896
1975,middle,0.064735945485519586
1976,first,0.032076420311714426
1976,last,0.0745868060460517
1976,middle,0.099596231493943477
1977,first,0.032618025751072963
1977,last,0.046959459459459459
1977,middle,0.56172839506172845
1978,first,0.038301931791080372
1978,last,0.10252836950029863
1978,middle,0.14141414141414141
1979,first,0.27040454222853089
1979,last,0.0928
1979,middle,0.10657439446366782
1980,first,0.10356672582584302
1980,last,0.081331929958855617
1980,middle,0.028055623322761649
1981,first,0.12122319052340448
1981,last,0.038015540944411237
1981,middle,0.052253909843606255
1982,first,0.077542662116040953
1982,last,0.080393765381460217
1982,middle,0.11852642819006941
1983,first,0.11482202585991713
1983,last,0.10029354207436399
1983,middle,0.39236319903788336
1984,first,0.17975777005966692
1984,last,0.066764705882352934
1984,middle,0.094449188727583261
1985,first,0.088165959453088166
1985,last,0.16464989114475218
1985,middle,0.53520478601012422
1986,first,0.26573110004526934
1986,last,0.26044870635064232
1986,middle,0.17046166701483184
1987,first,0.32253985458158335
1987,last,0.23613948059527284
1987,middle,0.18053375196232338
1988,first,0.13710461377402228
1988,last,0.1246031746031746
1988,middle,0.37042793492902287
1989,first,0.19634562972630609
1989,last,0.21594575021397064
1989,middle,0.18958791403645647
1990,first,0.14438269380322832
1990,last,0.11390018851076496
1990,middle,0.19139559286463798
1991,first,0.20249310661764705
1991,last,0.20076038575667657
1991,middle,0.24198092761161683
1992,first,0.19891715327650625
1992,last,0.18221819006577455
1992,middle,0.26852857001875063
1993,first,0.20896658287401121
1993,last,0.22950364732001269
1993,middle,0.2984446710861805
1994,first,0.13930496313196442
1994,last,0.45237382919476216
1994,middle,0.21529518425683963
1995,first,0.34722021312503015
1995,last,0.3048163533911899
1995,middle,0.31028640139921293
1996,first,0.21549354912588747
1996,last,0.26216408192257606
1996,middle,0.36679882941565184
1997,first,0.24751711503230162
1997,last,0.1922667451921988
1997,middle,0.23214406837143051
1998,first,0.1336194801550597
1998,last,0.13253588516746412
1998,middle,0.24979570611395885
1999,first,0.18127737106103678
1999,last,0.45489303330122871
1999,middle,0.31659116797795966
2000,first,0.23805370943974979
2000,last,0.25390038314176244
2000,middle,0.1937744509133475
2001,first,0.24326013652438522
2001,last,0.22864912299708567
2001,middle,0.44535770564134886
2002,first,0.2796932608293069
2002,last,0.18621901446825548
2002,middle,0.16713980741279069
2003,first,0.20823142123155969
2003,last,0.2564401890244587
2003,middle,0.24456206393908947
2004,first,0.23096005953857604
2004,last,0.22159360740021886
2004,middle,0.20642129702429954
2005,first,0.23279926523114602
2005,last,0.18303409424735179
2005,middle,0.20033305180628816
2006,first,0.22215949188426254
2006,last,0.14577342439491972
2006,middle,0.20986906390463161
2007,first,0.26955693240321826
2007,last,0.25370590432214035
2007,middle,0.21239740899111534
2008,first,0.25814112131796663
2008,last,0.20926210729852013
2008,middle,0.22805577168169472
2009,first,0.26034376448667113
2009,last,0.20688206785137317
2009,middle,0.25574369475776715
2010,first,0.24893941282677143
2010,last,0.21492281303602059
2010,middle,0.21884759495230724
2011,first,0.25559411385443925
2011,last,0.20593610525117004
2011,middle,0.25181321182902339
2012,first,0.25460434274324922
2012,last,0.20572034132179404
2012,middle,0.23184078855573975
2013,first,0.27619780583045805
2013,last,0.21709439933947983
2013,middle,0.25262801418194636
2014,first,0.26414354108048133
2014,last,0.21315659136559997
2014,middle,0.2606156783495952
2015,first,0.284391406696717
2015,last,0.23555391976444609
2015,middle,0.26402514618170458
2016,first,0.26992120011798915
2016,last,0.22396031608698161
2016,middle,0.27668722571462462
2017,first,0.28983812569560868
2017,last,0.24155614774417453
2017,middle,0.27032333718150331
2018,first,0.25510561955378097
2018,last,0.21599073001158747
2018,middle,0.273908938003482
2019,first,0.23956251971816175
2019,last,0.20363423212192264
2019,middle,0.24885731933292154
2020,first,0.038461538461538464
2020,last,0.125
2020,middle,0.086956521739130432
