year,authorship_type,portion_of_female_unique_authors_by_authorship
1876,first,1.0
1916,first,0.5
1921,first,0.18181818181818182
1923,last,1.0
1924,first,0.05
1926,first,0.23076923076923078
1926,middle,1.0
1927,first,0.36363636363636365
1928,first,0.16666666666666666
1928,last,0.5
1929,first,0.1
1930,first,0.1111111111111111
1931,first,0.18181818181818182
1932,first,0.2
1933,first,0.125
1934,first,0.21428571428571427
1935,first,0.15789473684210525
1936,first,0.125
1936,last,0.16666666666666666
1938,first,0.19047619047619047
1938,last,0.5
1939,first,0.076923076923076927
1940,first,0.16666666666666666
1941,first,0.14285714285714285
1941,last,0.083333333333333329
1942,first,0.071428571428571425
1942,last,0.4
1943,first,0.25
1943,last,0.25
1944,first,0.1
1945,last,0.5
1945,middle,0.66666666666666663
1946,first,0.1
1946,last,0.4
1946,middle,0.5
1947,first,0.27777777777777779
1947,last,0.16666666666666666
1948,first,0.038461538461538464
1948,middle,0.2
1949,first,0.13793103448275862
1950,first,0.064516129032258063
1951,first,0.041666666666666664
1951,last,0.22222222222222221
1952,first,0.24242424242424243
1952,middle,0.5
1953,middle,1.0
1954,first,0.0625
1954,middle,0.4
1955,first,0.10869565217391304
1955,last,0.058823529411764705
1955,middle,0.33333333333333331
1956,first,0.05128205128205128
1956,last,0.25
1957,first,0.055555555555555552
1957,last,0.125
1958,first,0.090909090909090912
1958,last,0.18181818181818182
1959,first,0.044444444444444446
1959,last,0.15384615384615385
1959,middle,0.18181818181818182
1960,first,0.058823529411764705
1960,last,0.076923076923076927
1961,first,0.072727272727272724
1961,last,0.125
1961,middle,0.33333333333333331
1962,first,0.070422535211267609
1962,last,0.21428571428571427
1962,middle,0.33333333333333331
1963,first,0.017241379310344827
1963,last,0.043478260869565216
1964,first,0.0379746835443038
1964,last,0.11538461538461539
1964,middle,0.2857142857142857
1965,first,0.061855670103092786
1965,last,0.058823529411764705
1965,middle,0.16666666666666666
1966,first,0.046511627906976744
1966,last,0.1111111111111111
1966,middle,0.083333333333333329
1967,first,0.10256410256410256
1967,last,0.05128205128205128
1968,first,0.034482758620689655
1968,last,0.081081081081081086
1968,middle,0.14285714285714285
1969,first,0.1044776119402985
1969,last,0.22857142857142856
1969,middle,0.1111111111111111
1970,first,0.14102564102564102
1970,last,0.16666666666666666
1970,middle,0.11764705882352941
1971,first,0.080291970802919707
1971,last,0.25
1971,middle,0.18181818181818182
1972,first,0.065217391304347824
1972,last,0.07575757575757576
1972,middle,0.13636363636363635
1973,first,0.082417582417582416
1973,last,0.078947368421052627
1974,first,0.056603773584905662
1974,last,0.0547945205479452
1974,middle,0.25
1975,first,0.088983050847457626
1975,last,0.1375
1975,middle,0.13043478260869565
1976,first,0.088461538461538466
1976,last,0.13157894736842105
1976,middle,0.12820512820512819
1977,first,0.10486891385767791
1977,last,0.10891089108910891
1977,middle,0.1388888888888889
1978,first,0.088709677419354843
1978,last,0.076923076923076927
1978,middle,0.20833333333333334
1979,first,0.084183673469387751
1979,last,0.11891891891891893
1979,middle,0.17045454545454544
1980,first,0.088888888888888892
1980,last,0.095238095238095233
1980,middle,0.057471264367816091
1981,first,0.1024390243902439
1981,last,0.0748663101604278
1981,middle,0.089743589743589744
1982,first,0.13465783664459161
1982,last,0.1116751269035533
1982,middle,0.078947368421052627
1983,first,0.13429752066115702
1983,last,0.13215859030837004
1983,middle,0.21428571428571427
1984,first,0.16895874263261296
1984,last,0.13135593220338984
1984,middle,0.21782178217821782
1985,first,0.16318785578747627
1985,last,0.16535433070866143
1985,middle,0.23333333333333334
1986,first,0.15671641791044777
1986,last,0.13768115942028986
1986,middle,0.24603174603174602
1987,first,0.22202486678507993
1987,last,0.18151815181518152
1987,middle,0.21088435374149661
1988,first,0.16642958748221906
1988,last,0.14325068870523416
1988,middle,0.11038961038961038
1989,first,0.1715076071922545
1989,last,0.16797900262467191
1989,middle,0.17412935323383086
1990,first,0.19047619047619047
1990,last,0.16099773242630386
1990,middle,0.1761904761904762
1991,first,0.17386363636363636
1991,last,0.16984732824427481
1991,middle,0.20901639344262296
1992,first,0.15866797257590598
1992,last,0.1865546218487395
1992,middle,0.22455089820359281
1993,first,0.19818181818181818
1993,last,0.16834532374100719
1993,middle,0.21899736147757257
1994,first,0.17676767676767677
1994,last,0.18706047819971872
1994,middle,0.24822695035460993
1995,first,0.19221209610604806
1995,last,0.17992177314211213
1995,middle,0.22287968441814596
1996,first,0.21008403361344538
1996,last,0.2
1996,middle,0.24750499001996007
1997,first,0.20533141210374639
1997,last,0.18959537572254334
1997,middle,0.24792013311148087
1998,first,0.22089552238805971
1998,last,0.19695193434935521
1998,middle,0.25760286225402507
1999,first,0.21831501831501832
1999,last,0.18657565415244595
1999,middle,0.21052631578947367
2000,first,0.22291021671826625
2000,last,0.19538017324350337
2000,middle,0.21991701244813278
2001,first,0.19932432432432431
2001,last,0.19365895458440446
2001,middle,0.24130190796857465
2002,first,0.21906596051998073
2002,last,0.17318840579710146
2002,middle,0.22731439046746105
2003,first,0.22025316455696203
2003,last,0.1975
2003,middle,0.24274809160305344
2004,first,0.22369337979094076
2004,last,0.19762027935851009
2004,middle,0.22309417040358745
2005,first,0.22948459545061906
2005,last,0.19511167298777918
2005,middle,0.2108971348050728
2006,first,0.21842225262197904
2006,last,0.19337016574585636
2006,middle,0.2347517730496454
2007,first,0.22976190476190475
2007,last,0.19911242603550297
2007,middle,0.24240601503759399
2008,first,0.2506451612903226
2008,last,0.21377231625318804
2008,middle,0.23348115299334812
2009,first,0.25701357466063346
2009,last,0.23193368174445847
2009,middle,0.24155887787670083
2010,first,0.26883325677537895
2010,last,0.22199624530663328
2010,middle,0.25884861407249465
2011,first,0.27509623926562038
2011,last,0.23678341860160043
2011,middle,0.2546343682474696
2012,first,0.27107564309364124
2012,last,0.22709944450495589
2012,middle,0.25443414063203385
2013,first,0.2764769731741355
2013,last,0.24236641221374045
2013,middle,0.26428732776146374
2014,first,0.28361606815010648
2014,last,0.24658142425856863
2014,middle,0.2609218153541637
2015,first,0.29426053161218685
2015,last,0.24887481246874479
2015,middle,0.27677943339515254
2016,first,0.2993206906311916
2016,last,0.24791477413494095
2016,middle,0.27884791781324525
2017,first,0.30787820202996619
2017,last,0.25808
2017,middle,0.28038367060474911
2018,first,0.29718526442468407
2018,last,0.24920490686051794
2018,middle,0.28595991617860406
2019,first,0.29678326304473662
2019,last,0.23823805060918463
2019,middle,0.27503535158760767
2020,first,0.32432432432432434
2020,last,0.25308641975308643
2020,middle,0.14465408805031446
